,RMSE,Fullcell,Halfcell Anode,Halfcell Cathode,Solution
98,601.3433486401751,LFP-HighV,"Graphite, Dufour2018","NMC111, Ko2019",[-1.56125113e-17  7.00000000e-01 -1.49619900e-17  7.00000000e-01]
99,446.1535929039459,LFP-HighV,"Graphite, Dufour2018","NMC111, Schmalstieg2018",[-1.91396104e-19  7.00000000e-01  5.20417043e-18  7.00000000e-01]
100,226.87437403741228,LFP-HighV,"Graphite, Dufour2018","NMC111, Wu2012",[0.00000000e+00 1.00000000e+00 1.38777878e-18 7.00000000e-01]
101,723.7417563136108,LFP-HighV,"Graphite, Dufour2018","NMC523, Verma2017",[-5.20417043e-18  7.00000000e-01 -8.67361738e-18  7.00000000e-01]
102,560.3349577727852,LFP-HighV,"Graphite, Dufour2018","NMC622, Chaouachi2021",[-6.93889390e-18  7.00000000e-01 -5.20417043e-18  7.00000000e-01]
103,373.26623509046783,LFP-HighV,"Graphite, Dufour2018","NMC622, Gao2018",[-3.14418630e-18  7.00000000e-01 -3.46944695e-18  7.00000000e-01]
104,539.2569976380654,LFP-HighV,"Graphite, Dufour2018","NMC811, Chen2020",[-3.12250226e-17  7.00000000e-01 -3.13334428e-17  7.00000000e-01]
105,466.5790867654334,LFP-HighV,"Graphite, Dufour2018","NMC811, Sturm2019",[-5.20417043e-18  7.00000000e-01 -3.46944695e-18  7.00000000e-01]
106,185.59558259756633,LFP-HighV,"Graphite, Dufour2018","SIB-NMF, cathode_charge_data",[0.       1.       0.271237 1.      ]
107,184.89939582823385,LFP-HighV,"Graphite, Dufour2018","SIB-NMF, cathode_discharge_data",[-8.71264866e-17  1.00000000e+00  4.00000000e-01  1.00000000e+00]
108,683.6106484149976,LFP-HighV,"Graphite, Ecker2015","LCO, Doyle2003",[-6.42389787e-18  7.00000000e-01 -5.20417043e-18  7.00000000e-01]
109,675.6427201953358,LFP-HighV,"Graphite, Ecker2015","LCO, Jiang2016",[-8.59203125e-18  7.00000000e-01 -1.04083409e-17  7.00000000e-01]
110,631.8788139613233,LFP-HighV,"Graphite, Ecker2015","LCO, Kumaresan2008",[1.81630961e-18 7.00000000e-01 0.00000000e+00 7.00000000e-01]
111,681.3214186543153,LFP-HighV,"Graphite, Ecker2015","LCO, Tang2019",[-6.07153217e-18  7.00000000e-01 -1.10953635e-17  7.00000000e-01]
112,762.1657104633138,LFP-HighV,"Graphite, Ecker2015","LFP, Const",[1.06776476e-19 7.00000000e-01 1.85496379e-01 7.99792118e-01]
113,743.4378625337522,LFP-HighV,"Graphite, Ecker2015","LFP, Delacourt2011",[-1.73472348e-19  7.00000000e-01 -1.73472348e-19  7.00000000e-01]
114,743.4378625337522,LFP-HighV,"Graphite, Ecker2015","LFP, Farkhondeh2014",[-1.73472348e-19  7.00000000e-01 -1.73472348e-19  7.00000000e-01]
115,743.4378625337522,LFP-HighV,"Graphite, Ecker2015","LFP, HighV",[-1.73472348e-19  7.00000000e-01 -1.73472348e-19  7.00000000e-01]
116,774.1220811019024,LFP-HighV,"Graphite, Ecker2015","LFP, Kashkooli2016",[-3.79470760e-18  7.00000000e-01 -3.46944695e-18  7.00000000e-01]
117,385.9124186738072,LFP-HighV,"Graphite, Ecker2015","LFP, Prada2012",[ 2.31637786e-02  8.41422473e-01 -1.22898512e-20  7.00000000e-01]
118,409.24948213214867,LFP-HighV,"Graphite, Ecker2015","LFP, Srinivasan2004a",[-7.19146964e-22  7.00000000e-01  7.53317525e-02  7.00000000e-01]
119,743.4378625337522,LFP-HighV,"Graphite, Ecker2015","LFP, Thorat2011",[-1.73472348e-19  7.00000000e-01 -1.73472348e-19  7.00000000e-01]
120,650.5733279219429,LFP-HighV,"Graphite, Ecker2015","LMO, Albertus2009",[-3.87655624e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
121,546.7121424742656,LFP-HighV,"Graphite, Ecker2015","LMO, Das2004",[-4.82469967e-18  7.00000000e-01 -8.04949321e-18  7.00000000e-01]
122,694.2795979140891,LFP-HighV,"Graphite, Ecker2015","LMO, Doyle1996",[-1.21430643e-17  7.00000000e-01 -1.21430643e-17  7.00000000e-01]
123,634.5210966582256,LFP-HighV,"Graphite, Ecker2015","NCA, Abraham2008",[-1.66967135e-17  7.00000000e-01 -1.24638098e-17  7.00000000e-01]
124,423.93603316575184,LFP-HighV,"Graphite, Ecker2015","NCA, Albertus2009",[4.88281250e-04 7.00000000e-01 1.38777878e-21 7.00000000e-01]
125,727.4280015131585,LFP-HighV,"Graphite, Ecker2015","NCA, Dees2008",[-1.17093835e-17  7.00000000e-01 -1.21430643e-17  7.00000000e-01]
